symbol,model,scope,n_train,fallback_share,n,auc,brier,log_loss,accuracy,base_rate
GOOG,logistic_imbalance,common,233995,0.9243856332703214,11116,0.5637141665225432,0.247830870196238,0.6887976190047852,0.5367038503058654,0.47670025188916876
GOOG,logistic_queues,all,233995,0.9243856332703214,93598,0.555922736808528,0.24766314179962612,0.6884168392206715,0.5328746340733777,0.482072266501421
GOOG,logistic_queues,common,233995,0.9243856332703214,11116,0.5657583178820412,0.24765841971316183,0.6884337176087367,0.5358942065491183,0.47670025188916876
GOOG,logistic_all,all,233995,0.9243856332703214,93598,0.5573950146286909,0.24738257972484573,0.6878579546424911,0.5433769952349409,0.482072266501421
GOOG,logistic_all,common,233995,0.9243856332703214,11116,0.5664835740055981,0.24655292708286028,0.6861808878424729,0.5465095358042461,0.47670025188916876
GOOG,boosted_queues,all,233995,0.9243856332703214,93598,0.5468200785569639,0.2518562590459162,0.6976457810854336,0.5357806790743392,0.482072266501421
GOOG,boosted_queues,common,233995,0.9243856332703214,11116,0.5221256403595826,0.2565555367698092,0.7087452201833397,0.5266282835552357,0.47670025188916876
GOOG,boosted_all,all,233995,0.9243856332703214,93598,0.5570626526797868,0.2501068394743014,0.694218329073724,0.5384623603068441,0.482072266501421
GOOG,boosted_all,common,233995,0.9243856332703214,11116,0.5449110689776628,0.25277124712987475,0.6998392589810746,0.53364519611371,0.47670025188916876
INTC,analytic,common,233991,0.15500945179584122,84061,0.6415421958631986,0.24340601945661416,0.6853945020446638,0.5947704643056828,0.49767430794304135
INTC,logistic_imbalance,all,233991,0.15500945179584122,93598,0.6592164087306025,0.2315332774853816,0.6549955308856414,0.6117011047244599,0.5061112416931985
INTC,logistic_imbalance,common,233991,0.15500945179584122,84061,0.6426951494496786,0.23553688366278128,0.6634912429723447,0.5990530686049417,0.49767430794304135
INTC,logistic_queues,all,233991,0.15500945179584122,93598,0.6588133444076903,0.23165114915273163,0.6552842997786944,0.612320776084959,0.5061112416931985
INTC,logistic_queues,common,233991,0.15500945179584122,84061,0.6429664405883119,0.2355193918108324,0.6634810008656542,0.599564601896242,0.49767430794304135
INTC,logistic_all,all,233991,0.15500945179584122,93598,0.6579915432352332,0.23187723442963856,0.6557942589361856,0.6111134853308832,0.5061112416931985
INTC,logistic_all,common,233991,0.15500945179584122,84061,0.6422534451839057,0.2357141172925637,0.6639290007807506,0.5983036128525714,0.49767430794304135
INTC,boosted_queues,all,233991,0.15500945179584122,93598,0.647350457971618,0.23423220357572216,0.6610163536462749,0.5997884570183124,0.5061112416931985
INTC,boosted_queues,common,233991,0.15500945179584122,84061,0.6337575634591605,0.23745755498640267,0.6676563379374689,0.5899287422229096,0.49767430794304135
INTC,boosted_all,all,233991,0.15500945179584122,93598,0.6398466335132176,0.23786793517876503,0.6703159627901258,0.5994252013931921,0.5061112416931985
INTC,boosted_all,common,233991,0.15500945179584122,84061,0.6234197793927264,0.2417154948173801,0.6783838574135431,0.5874186602586217,0.49767430794304135
ISRG,analytic,common,233994,0.9508506616257089,20225,0.5697406075650188,0.2583418251727477,0.7203347130042744,0.5625710754017306,0.44524103831891226
ISRG,logistic_imbalance,all,233994,0.9508506616257089,93598,0.5775767662284093,0.24989207624437867,0.6930245047187763,0.5369131819055962,0.455661445757388
ISRG,logistic_imbalance,common,233994,0.9508506616257089,20225,0.5594560112672599,0.25297257387869315,0.6991092635992763,0.4707540173053152,0.44524103831891226
ISRG,logistic_queues,all,233994,0.9508506616257089,93598,0.5788814485961145,0.2489412651907316,0.6910922983572143,0.5331096818308083,0.455661445757388
ISRG,logistic_queues,common,233994,0.9508506616257089,20225,0.5611482183100892,0.25305353345267306,0.6992985150520392,0.4903337453646477,0.44524103831891226
ISRG,logistic_all,all,233994,0.9508506616257089,93598,0.5756599301173594,0.24910542575552047,0.6914469204315827,0.5326075343490245,0.455661445757388
ISRG,logistic_all,common,233994,0.9508506616257089,20225,0.5492454380167089,0.2523106712033873,0.6977720958276574,0.49522867737948084,0.44524103831891226
ISRG,boosted_queues,all,233994,0.9508506616257089,93598,0.5553130097858867,0.2571626125286744,0.7100362398292707,0.5200431633154554,0.455661445757388
ISRG,boosted_queues,common,233994,0.9508506616257089,20225,0.532004412284322,0.25789737137845453,0.7110817798062741,0.4994313967861557,0.44524103831891226
ISRG,boosted_all,all,233994,0.9508506616257089,93598,0.5446599254835109,0.26150891518616853,0.7198139294996321,0.5163785550973311,0.455661445757388
ISRG,boosted_all,common,233994,0.9508506616257089,20225,0.5406191004997223,0.26120168887822554,0.7192626296915133,0.5131767614338689,0.44524103831891226
MSFT,analytic,common,233995,0.6332703213610587,70168,0.5819899723701587,0.27152187215594215,0.7615738487353252,0.5560226884049709,0.5060711435412154
MSFT,logistic_imbalance,all,233995,0.6332703213610587,93598,0.620764353776367,0.24065650166370367,0.674567419442424,0.5862518429880981,0.5028205730891686
